Пол,Возраст,Путешествует с детьми,Расстояние,Включён завтрак,Наличие wifi,Оценка удобства добирания до места,Оценка интерсности досуга,Оценка качества питания,Оценка качества wifi,Оценка комфортности палатки,Общая оценка качества предоставленной услуги
муж,"65,45",нет,2431,1,0,4,отсутствует,хорошо,плохо,плохо,хорошо
жен,"60,71",да,801,1,0,4,хорошо,отсутствует,отсутствует,плохо,хорошо
жен,"36,89",да,3477,1,0,3,плохо,хорошо,плохо,отсутствует,хорошо
муж,"50,45",да,4613,0,0,2,плохо,плохо,хорошо,отсутствует,плохо
муж,"57,55",да,4851,1,1,3,хорошо,плохо,хорошо,плохо,хорошо
жен,"73,45",да,4130,1,1,3,отсутствует,отсутствует,хорошо,отсутствует,хорошо
жен,"47,74",да,681,1,1,3,хорошо,хорошо,отсутствует,отсутствует,плохо
жен,"86,14",да,1890,1,0,4,хорошо,хорошо,отсутствует,хорошо,отсутствует
муж,"19,61",да,474,0,0,3,хорошо,хорошо,хорошо,отсутствует,отсутствует
муж,"56,04",да,1216,0,1,4,отсутствует,отсутствует,отсутствует,плохо,плохо
жен,"89,15",нет,3036,0,1,3,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,"72,39",да,612,1,0,4,отсутствует,отсутствует,отсутствует,хорошо,хорошо
жен,"33,18",нет,3384,1,1,3,хорошо,хорошо,хорошо,плохо,отсутствует
муж,"19,93",нет,2059,1,1,2,хорошо,плохо,хорошо,плохо,хорошо
жен,"26,31",да,357,1,1,1,плохо,плохо,плохо,отсутствует,хорошо
жен,"75,68",да,4589,0,0,4,плохо,хорошо,плохо,отсутствует,хорошо
жен,"61,09",да,4075,1,1,4,хорошо,хорошо,отсутствует,хорошо,плохо
жен,"37,97",нет,3019,0,1,4,плохо,плохо,плохо,плохо,хорошо
жен,"50,02",нет,1440,1,0,4,отсутствует,плохо,плохо,плохо,хорошо
жен,"33,4",да,3018,1,1,4,плохо,отсутствует,плохо,хорошо,хорошо
муж,"28,64",да,3494,0,0,1,плохо,отсутствует,отсутствует,хорошо,плохо
муж,"25,02",да,3537,1,1,4,отсутствует,хорошо,отсутствует,хорошо,хорошо
муж,"37,1",да,4522,0,1,1,хорошо,плохо,хорошо,отсутствует,плохо
жен,"30,53",нет,4014,1,1,3,хорошо,плохо,плохо,плохо,плохо
жен,"78,7",нет,3412,0,0,1,отсутствует,отсутствует,отсутствует,отсутствует,плохо
муж,"77,43",нет,1754,0,1,2,плохо,отсутствует,плохо,отсутствует,плохо
муж,"54,23",нет,1144,1,1,5,отсутствует,отсутствует,отсутствует,плохо,отсутствует
жен,"48,86",да,4435,1,0,1,плохо,отсутствует,плохо,плохо,отсутствует
муж,"64,57",да,2033,0,0,5,хорошо,хорошо,отсутствует,плохо,хорошо
муж,"65,96",нет,4589,0,0,3,отсутствует,плохо,хорошо,отсутствует,хорошо
муж,"85,52",да,1519,1,1,4,хорошо,хорошо,плохо,отсутствует,отсутствует
муж,"24,51",нет,310,0,0,3,плохо,отсутствует,плохо,плохо,хорошо
жен,"54,37",нет,3083,1,1,5,плохо,отсутствует,хорошо,отсутствует,отсутствует
муж,"23,49",нет,2210,1,1,5,плохо,плохо,хорошо,плохо,хорошо
муж,"73,53",да,2365,1,1,5,хорошо,отсутствует,отсутствует,плохо,отсутствует
муж,"80,75",нет,3644,0,1,2,плохо,отсутствует,хорошо,хорошо,отсутствует
муж,"58,62",да,2998,1,0,5,отсутствует,хорошо,отсутствует,отсутствует,хорошо
жен,"48,98",да,4898,1,1,1,хорошо,плохо,отсутствует,хорошо,плохо
жен,"54,04",нет,2274,0,0,4,хорошо,хорошо,отсутствует,хорошо,хорошо
муж,"60,09",нет,4669,0,0,1,плохо,плохо,хорошо,хорошо,хорошо
муж,"67,11",да,700,1,0,3,хорошо,плохо,отсутствует,отсутствует,отсутствует
муж,"62,27",да,473,0,1,5,плохо,плохо,отсутствует,отсутствует,плохо
жен,"27,78",да,4352,1,1,1,плохо,хорошо,плохо,хорошо,отсутствует
жен,"41,48",нет,1082,0,0,4,плохо,хорошо,отсутствует,хорошо,отсутствует
жен,"51,28",нет,608,1,1,1,хорошо,хорошо,плохо,хорошо,хорошо
жен,"49,86",нет,769,0,0,3,отсутствует,хорошо,плохо,отсутствует,хорошо
муж,"55,53",нет,4623,0,1,3,хорошо,плохо,отсутствует,плохо,отсутствует
муж,"53,71",да,554,0,1,3,плохо,хорошо,отсутствует,хорошо,плохо
муж,"27,68",да,794,1,1,3,отсутствует,хорошо,плохо,отсутствует,отсутствует
жен,"70,12",нет,1526,1,1,2,плохо,отсутствует,плохо,плохо,отсутствует
муж,"55,14",да,4203,1,0,1,хорошо,плохо,плохо,хорошо,хорошо
муж,"22,79",да,4886,1,0,3,плохо,хорошо,отсутствует,отсутствует,хорошо
жен,"30,25",нет,428,0,1,2,плохо,плохо,хорошо,отсутствует,плохо
жен,"59,2",нет,716,1,0,2,отсутствует,хорошо,отсутствует,плохо,отсутствует
муж,"43,61",да,1873,1,1,5,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,"21,04",да,4970,1,0,2,хорошо,отсутствует,хорошо,плохо,хорошо
жен,"42,82",нет,3047,0,0,4,отсутствует,плохо,хорошо,хорошо,отсутствует
муж,"70,38",нет,766,1,0,4,плохо,хорошо,отсутствует,плохо,плохо
жен,"68,32",нет,1475,1,1,4,хорошо,плохо,отсутствует,отсутствует,плохо
жен,"58,22",нет,2162,1,1,1,отсутствует,хорошо,отсутствует,хорошо,плохо
жен,"29,57",да,3120,0,0,4,хорошо,хорошо,отсутствует,хорошо,плохо
муж,"48,11",нет,2930,0,1,1,отсутствует,хорошо,отсутствует,хорошо,плохо
жен,"75,13",нет,2868,0,1,3,хорошо,плохо,отсутствует,отсутствует,хорошо
жен,"30,99",да,1055,0,0,5,плохо,хорошо,плохо,плохо,плохо
муж,"35,24",нет,5000,1,1,3,плохо,плохо,хорошо,хорошо,хорошо
муж,"80,72",да,2485,1,1,2,хорошо,плохо,хорошо,плохо,плохо
жен,"21,74",нет,4558,0,0,3,отсутствует,хорошо,плохо,плохо,плохо
жен,"69,93",да,411,1,1,5,плохо,отсутствует,плохо,отсутствует,плохо
жен,"30,65",нет,4863,1,0,3,плохо,хорошо,хорошо,хорошо,отсутствует
жен,"87,54",нет,2908,1,1,3,хорошо,хорошо,плохо,отсутствует,хорошо
жен,"42,84",нет,3293,0,1,4,плохо,плохо,хорошо,отсутствует,хорошо
жен,"32,97",да,4385,1,0,1,отсутствует,плохо,отсутствует,плохо,отсутствует
муж,"85,14",да,2132,1,0,5,отсутствует,отсутствует,хорошо,отсутствует,отсутствует
муж,"37,7",нет,3049,1,1,1,хорошо,плохо,плохо,хорошо,плохо
муж,"58,76",да,2592,0,0,1,плохо,плохо,хорошо,хорошо,плохо
жен,"54,07",да,2089,0,0,4,плохо,плохо,плохо,плохо,хорошо
муж,"78,4",да,4980,1,0,1,отсутствует,отсутствует,плохо,хорошо,отсутствует
жен,"35,68",да,808,1,1,3,отсутствует,плохо,плохо,отсутствует,плохо
муж,"55,13",нет,4634,1,1,4,хорошо,плохо,хорошо,отсутствует,плохо
жен,"20,38",нет,1678,1,0,3,хорошо,отсутствует,отсутствует,хорошо,отсутствует
муж,"39,84",да,3454,1,1,4,отсутствует,хорошо,отсутствует,хорошо,плохо
муж,"62,58",нет,447,1,1,5,отсутствует,хорошо,плохо,плохо,плохо
муж,"41,6",да,927,1,0,4,плохо,плохо,плохо,отсутствует,отсутствует
жен,"70,38",да,4325,1,1,4,хорошо,плохо,отсутствует,отсутствует,хорошо
жен,"65,91",да,1946,0,0,3,отсутствует,хорошо,хорошо,плохо,отсутствует
муж,"79,11",нет,266,1,1,5,плохо,плохо,плохо,отсутствует,плохо
муж,"52,45",да,2936,1,1,4,хорошо,хорошо,плохо,хорошо,хорошо
муж,"24,25",нет,691,0,1,5,плохо,хорошо,отсутствует,отсутствует,плохо
муж,"74,72",да,2871,1,1,1,плохо,плохо,плохо,хорошо,хорошо
муж,"67,9",нет,2882,0,0,1,отсутствует,отсутствует,хорошо,отсутствует,отсутствует
муж,"56,17",да,3026,0,1,2,плохо,хорошо,хорошо,плохо,хорошо
муж,"55,51",да,2854,1,0,3,отсутствует,отсутствует,плохо,отсутствует,хорошо
муж,"71,92",да,4274,1,0,1,плохо,хорошо,плохо,хорошо,хорошо
жен,"62,72",да,3625,0,0,5,хорошо,хорошо,плохо,плохо,плохо
жен,"25,15",да,3335,1,0,5,отсутствует,отсутствует,хорошо,отсутствует,отсутствует
жен,"50,66",нет,316,1,0,4,отсутствует,хорошо,отсутствует,отсутствует,плохо
муж,"48,45",нет,2578,1,0,1,отсутствует,хорошо,плохо,плохо,плохо
жен,"49,6",да,334,0,0,2,хорошо,плохо,хорошо,плохо,отсутствует
жен,"53,48",нет,1586,0,1,1,плохо,отсутствует,плохо,хорошо,отсутствует
муж,"85,85",да,2316,1,0,4,хорошо,плохо,хорошо,плохо,плохо
муж,"44,82",нет,4195,0,0,2,плохо,отсутствует,хорошо,хорошо,плохо
жен,"40,23",да,4836,1,0,1,плохо,отсутствует,отсутствует,хорошо,отсутствует
муж,"21,36",да,105,0,1,4,хорошо,плохо,отсутствует,плохо,плохо
муж,"70,77",нет,2384,0,0,2,отсутствует,отсутствует,хорошо,отсутствует,плохо
жен,"89,38",да,849,1,1,3,плохо,отсутствует,отсутствует,плохо,отсутствует
жен,"59,11",да,205,1,0,2,плохо,хорошо,хорошо,хорошо,отсутствует
жен,"86,79",да,3583,1,0,2,отсутствует,плохо,отсутствует,отсутствует,хорошо
муж,"60,72",да,4396,1,0,4,отсутствует,хорошо,хорошо,отсутствует,отсутствует
муж,"27,78",нет,4757,0,0,5,отсутствует,отсутствует,плохо,хорошо,отсутствует
муж,"30,76",да,4398,0,0,4,плохо,хорошо,плохо,отсутствует,отсутствует
муж,"61,07",нет,3924,1,1,3,отсутствует,плохо,отсутствует,хорошо,отсутствует
муж,"68,74",да,2647,1,0,2,отсутствует,отсутствует,хорошо,хорошо,отсутствует
жен,"44,56",нет,3048,0,0,3,хорошо,плохо,плохо,отсутствует,хорошо
жен,"59,63",нет,195,1,0,2,хорошо,хорошо,отсутствует,хорошо,отсутствует
муж,"43,63",да,401,0,1,5,хорошо,плохо,плохо,плохо,плохо
муж,"80,1",да,3039,0,1,3,плохо,хорошо,отсутствует,отсутствует,плохо
жен,"65,74",да,3818,0,0,1,отсутствует,хорошо,плохо,плохо,хорошо
жен,"29,76",да,4233,0,1,4,отсутствует,хорошо,плохо,хорошо,хорошо
муж,"61,71",нет,3671,0,1,3,отсутствует,отсутствует,плохо,плохо,отсутствует
муж,"18,44",да,3515,0,1,5,отсутствует,плохо,плохо,хорошо,плохо
муж,"58,85",нет,1095,0,1,4,плохо,плохо,хорошо,плохо,отсутствует
жен,"83,41",нет,2137,0,1,2,плохо,отсутствует,плохо,хорошо,отсутствует
жен,"80,49",да,4290,0,1,2,отсутствует,отсутствует,плохо,отсутствует,плохо
жен,"65,49",да,2694,0,1,1,плохо,плохо,плохо,плохо,хорошо
жен,"54,48",нет,3840,0,0,3,отсутствует,хорошо,хорошо,хорошо,отсутствует
жен,"87,26",да,156,0,0,4,плохо,плохо,хорошо,плохо,отсутствует
муж,"46,85",нет,2606,0,0,4,хорошо,хорошо,плохо,отсутствует,отсутствует
жен,"86,72",да,3719,1,0,2,отсутствует,плохо,плохо,хорошо,хорошо
жен,"87,0",да,4563,0,0,5,хорошо,хорошо,хорошо,хорошо,хорошо
муж,"80,56",да,1974,0,0,3,отсутствует,плохо,хорошо,хорошо,плохо
муж,"62,39",да,3593,0,1,3,хорошо,хорошо,плохо,хорошо,хорошо
муж,"41,87",нет,2290,1,0,4,хорошо,хорошо,плохо,плохо,отсутствует
жен,"62,71",да,1767,1,0,4,хорошо,хорошо,плохо,хорошо,хорошо
жен,"69,0",да,3579,0,1,3,хорошо,плохо,отсутствует,отсутствует,хорошо
жен,"69,78",нет,963,1,1,5,плохо,плохо,отсутствует,плохо,отсутствует
муж,"82,59",да,371,0,0,4,хорошо,отсутствует,плохо,плохо,плохо
жен,"25,0",да,2637,1,0,4,хорошо,отсутствует,хорошо,хорошо,отсутствует
жен,"31,92",да,1768,1,0,4,плохо,отсутствует,плохо,отсутствует,плохо
жен,"53,2",нет,3148,0,0,3,отсутствует,отсутствует,хорошо,отсутствует,плохо
жен,"47,81",да,208,1,0,5,отсутствует,плохо,плохо,плохо,хорошо
муж,"75,2",нет,1687,0,0,1,плохо,отсутствует,хорошо,плохо,хорошо
жен,"63,79",да,4696,0,1,4,плохо,отсутствует,плохо,отсутствует,плохо
жен,"67,68",да,2680,0,0,3,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,"64,16",нет,2501,1,1,4,плохо,хорошо,отсутствует,плохо,хорошо
муж,"39,55",да,129,1,1,1,хорошо,плохо,отсутствует,плохо,хорошо
муж,"57,27",нет,1249,1,0,3,хорошо,отсутствует,отсутствует,отсутствует,отсутствует
жен,"70,26",нет,3377,1,0,3,хорошо,плохо,отсутствует,отсутствует,отсутствует
жен,"84,39",нет,4399,1,1,1,плохо,отсутствует,хорошо,отсутствует,отсутствует
муж,"53,98",да,2514,0,1,2,хорошо,хорошо,хорошо,отсутствует,отсутствует
муж,"62,78",нет,1351,0,0,4,плохо,отсутствует,отсутствует,хорошо,плохо
жен,"52,36",да,3812,1,1,5,отсутствует,отсутствует,плохо,хорошо,хорошо
жен,"55,57",да,2030,1,0,1,плохо,отсутствует,плохо,хорошо,плохо
муж,"68,05",нет,3963,1,0,1,отсутствует,хорошо,плохо,хорошо,отсутствует
жен,"28,04",да,307,0,1,3,отсутствует,отсутствует,плохо,плохо,отсутствует
жен,"68,18",нет,3838,0,0,2,плохо,плохо,отсутствует,отсутствует,отсутствует
жен,"78,29",нет,3453,1,1,4,плохо,плохо,плохо,хорошо,отсутствует
муж,"57,5",нет,3369,0,0,1,хорошо,отсутствует,отсутствует,хорошо,отсутствует
жен,"48,1",нет,3834,0,0,3,отсутствует,хорошо,плохо,отсутствует,отсутствует
жен,"51,61",нет,3285,0,0,5,отсутствует,отсутствует,отсутствует,отсутствует,плохо
муж,"30,7",нет,2084,1,0,4,хорошо,плохо,плохо,хорошо,хорошо
жен,"48,61",нет,868,0,1,4,плохо,плохо,хорошо,хорошо,хорошо
муж,"66,35",да,674,0,0,2,хорошо,плохо,хорошо,отсутствует,плохо
жен,"68,63",да,3111,1,1,3,плохо,хорошо,плохо,отсутствует,отсутствует
муж,"36,92",нет,2323,1,1,3,хорошо,плохо,хорошо,отсутствует,хорошо
жен,"75,35",да,1892,0,0,5,отсутствует,хорошо,отсутствует,плохо,хорошо
муж,"46,32",да,3621,1,1,2,плохо,плохо,хорошо,хорошо,плохо
жен,"89,54",нет,1724,1,1,3,плохо,отсутствует,плохо,отсутствует,хорошо
жен,"55,42",да,2586,1,1,2,отсутствует,плохо,хорошо,хорошо,хорошо
муж,"63,6",да,2652,0,0,2,плохо,плохо,отсутствует,хорошо,хорошо
муж,"54,87",нет,3860,1,0,5,хорошо,плохо,отсутствует,хорошо,хорошо
муж,"48,71",да,1735,1,1,2,плохо,плохо,плохо,отсутствует,отсутствует
жен,"74,62",да,503,0,0,5,плохо,хорошо,плохо,плохо,плохо
муж,"70,8",нет,2228,1,1,5,хорошо,отсутствует,хорошо,плохо,отсутствует
муж,"36,4",да,2176,1,0,5,отсутствует,отсутствует,хорошо,плохо,отсутствует
жен,"54,27",да,2710,1,1,3,плохо,хорошо,отсутствует,плохо,хорошо
муж,"80,05",да,4822,1,1,1,плохо,хорошо,хорошо,отсутствует,хорошо
жен,"88,93",да,4996,0,1,4,плохо,отсутствует,хорошо,плохо,плохо
муж,"48,0",да,1635,0,1,5,отсутствует,отсутствует,хорошо,плохо,хорошо
муж,"23,76",да,4243,1,0,2,хорошо,хорошо,отсутствует,хорошо,отсутствует
жен,"80,34",нет,4493,1,0,4,отсутствует,хорошо,отсутствует,плохо,плохо
жен,"71,9",нет,1341,0,1,3,отсутствует,хорошо,хорошо,отсутствует,отсутствует
жен,"83,33",да,580,0,1,2,плохо,плохо,хорошо,хорошо,плохо
жен,"40,64",нет,4429,1,0,2,плохо,плохо,хорошо,хорошо,отсутствует
муж,"35,72",нет,1178,0,1,2,отсутствует,хорошо,отсутствует,хорошо,плохо
жен,"39,37",нет,3717,0,0,2,плохо,плохо,плохо,отсутствует,отсутствует
жен,"44,45",да,190,1,0,3,отсутствует,хорошо,хорошо,хорошо,хорошо
жен,"69,13",да,2454,0,0,5,плохо,плохо,плохо,отсутствует,плохо
муж,"26,22",нет,903,0,0,3,плохо,хорошо,плохо,плохо,плохо
жен,"54,78",да,1503,1,0,2,плохо,плохо,отсутствует,хорошо,плохо
муж,"32,38",да,1153,0,0,5,хорошо,плохо,плохо,отсутствует,плохо
муж,"58,24",нет,4061,0,1,5,отсутствует,хорошо,плохо,отсутствует,отсутствует
жен,"65,72",да,3279,0,1,1,отсутствует,хорошо,плохо,хорошо,плохо
муж,"28,47",нет,853,0,1,4,отсутствует,хорошо,хорошо,плохо,плохо
муж,"45,19",нет,3901,1,1,5,плохо,хорошо,плохо,плохо,хорошо
муж,"20,9",нет,1244,0,0,2,отсутствует,хорошо,хорошо,плохо,отсутствует
муж,"33,37",нет,4398,1,1,2,отсутствует,хорошо,плохо,хорошо,плохо
жен,"23,32",да,1228,1,1,1,плохо,отсутствует,плохо,отсутствует,плохо
жен,"72,73",да,4300,1,0,3,отсутствует,отсутствует,хорошо,отсутствует,хорошо
жен,"55,69",нет,3046,0,0,4,отсутствует,отсутствует,хорошо,хорошо,хорошо
жен,"74,51",нет,1551,1,0,5,плохо,хорошо,хорошо,хорошо,плохо
муж,"47,7",да,4027,0,0,3,отсутствует,отсутствует,хорошо,плохо,хорошо
жен,"65,69",да,2609,1,1,1,отсутствует,плохо,хорошо,отсутствует,плохо
жен,"37,51",да,2999,0,1,2,плохо,хорошо,плохо,хорошо,плохо
жен,"36,77",нет,4958,1,1,4,хорошо,отсутствует,отсутствует,плохо,плохо
муж,"82,61",да,2643,1,1,4,отсутствует,плохо,отсутствует,отсутствует,плохо
муж,"54,29",да,3021,0,0,5,отсутствует,хорошо,хорошо,отсутствует,хорошо
жен,"60,56",нет,4529,1,0,1,плохо,хорошо,хорошо,хорошо,плохо
муж,"39,49",нет,4373,1,1,4,отсутствует,хорошо,плохо,отсутствует,плохо
жен,"57,08",да,1093,1,0,4,плохо,плохо,отсутствует,плохо,отсутствует
жен,"62,67",да,4083,0,0,2,отсутствует,отсутствует,хорошо,плохо,хорошо
муж,"73,62",да,3483,1,0,2,отсутствует,отсутствует,плохо,отсутствует,плохо
муж,"45,47",нет,195,1,1,1,хорошо,хорошо,отсутствует,плохо,плохо
жен,"30,27",да,3265,0,0,5,плохо,отсутствует,отсутствует,отсутствует,плохо
жен,"33,7",да,4195,0,1,5,хорошо,отсутствует,хорошо,отсутствует,отсутствует
муж,"71,18",нет,3692,0,1,3,хорошо,плохо,хорошо,отсутствует,отсутствует
жен,"48,14",да,3715,0,0,1,плохо,отсутствует,отсутствует,хорошо,хорошо
жен,"81,83",да,3982,1,0,1,отсутствует,хорошо,хорошо,плохо,отсутствует
муж,"86,0",нет,503,1,0,4,плохо,хорошо,хорошо,хорошо,отсутствует
жен,"56,18",да,647,0,0,2,плохо,хорошо,отсутствует,хорошо,плохо
жен,"49,86",да,4872,0,0,1,плохо,хорошо,хорошо,хорошо,плохо
жен,"25,8",да,1090,1,0,3,хорошо,плохо,плохо,плохо,хорошо
муж,"65,02",да,4715,0,0,3,плохо,плохо,плохо,плохо,отсутствует
жен,"21,43",да,1263,0,1,3,хорошо,отсутствует,хорошо,плохо,отсутствует
муж,"57,58",нет,965,1,0,3,хорошо,плохо,отсутствует,отсутствует,отсутствует
муж,"67,74",да,2207,0,0,3,хорошо,хорошо,отсутствует,хорошо,плохо
муж,"23,84",нет,380,0,0,3,отсутствует,отсутствует,плохо,хорошо,плохо
жен,"86,21",нет,948,1,1,4,хорошо,хорошо,плохо,хорошо,хорошо
муж,"40,84",нет,3966,1,0,4,хорошо,плохо,плохо,хорошо,отсутствует
муж,"45,63",нет,4925,1,0,2,плохо,хорошо,отсутствует,отсутствует,плохо
муж,"36,06",нет,2058,0,0,3,хорошо,плохо,хорошо,отсутствует,хорошо
муж,"36,66",нет,1704,0,1,1,отсутствует,отсутствует,плохо,плохо,плохо
муж,"83,54",да,2682,0,1,3,отсутствует,отсутствует,хорошо,отсутствует,плохо
муж,"61,54",нет,2991,1,1,1,отсутствует,отсутствует,отсутствует,отсутствует,отсутствует
жен,"61,93",нет,4484,0,0,1,отсутствует,плохо,хорошо,отсутствует,хорошо
жен,"65,7",нет,1817,1,0,4,плохо,плохо,отсутствует,плохо,плохо
муж,"55,01",нет,3168,0,1,1,отсутствует,отсутствует,отсутствует,отсутствует,хорошо
муж,"38,93",нет,1460,0,1,5,хорошо,плохо,плохо,плохо,отсутствует
жен,"33,07",нет,2238,0,1,5,плохо,отсутствует,хорошо,плохо,отсутствует
жен,"27,15",нет,2006,0,1,4,отсутствует,хорошо,хорошо,хорошо,плохо
муж,"46,25",да,2802,1,0,3,плохо,отсутствует,хорошо,отсутствует,хорошо
муж,"52,29",да,2897,1,1,2,плохо,хорошо,хорошо,хорошо,хорошо
муж,"78,69",да,4439,1,1,1,плохо,хорошо,плохо,хорошо,хорошо
муж,"38,9",нет,1506,0,1,5,хорошо,отсутствует,отсутствует,отсутствует,хорошо
жен,"76,36",да,682,1,0,1,хорошо,хорошо,хорошо,плохо,хорошо
жен,"86,1",да,1528,0,0,4,плохо,плохо,плохо,плохо,хорошо
муж,"51,28",нет,754,0,1,5,хорошо,плохо,хорошо,отсутствует,плохо
муж,"64,15",нет,3038,1,0,2,отсутствует,хорошо,хорошо,хорошо,отсутствует
жен,"37,59",нет,1399,1,0,4,отсутствует,хорошо,плохо,плохо,отсутствует
жен,"27,11",да,4768,0,1,5,хорошо,хорошо,отсутствует,отсутствует,хорошо
муж,"52,53",да,365,0,0,2,плохо,отсутствует,отсутствует,отсутствует,хорошо
жен,"48,27",нет,3943,0,1,1,хорошо,хорошо,плохо,отсутствует,плохо
жен,"36,27",да,205,1,0,3,хорошо,плохо,отсутствует,отсутствует,плохо
муж,"23,29",да,3389,0,1,2,хорошо,отсутствует,хорошо,хорошо,плохо
муж,"69,64",нет,1059,1,0,2,хорошо,отсутствует,отсутствует,отсутствует,плохо
жен,"52,08",да,930,0,1,2,плохо,плохо,хорошо,хорошо,хорошо
муж,"27,85",да,1842,0,0,4,плохо,отсутствует,отсутствует,хорошо,хорошо
жен,"57,76",да,1089,0,1,5,плохо,плохо,отсутствует,плохо,отсутствует
муж,"76,49",да,3579,0,0,2,хорошо,плохо,плохо,хорошо,хорошо
жен,"85,68",да,4647,1,0,5,плохо,плохо,отсутствует,хорошо,хорошо
муж,"29,66",нет,565,0,1,2,плохо,плохо,отсутствует,плохо,хорошо
жен,"58,28",да,1999,0,0,1,плохо,отсутствует,плохо,отсутствует,плохо
муж,"67,92",нет,260,1,1,4,отсутствует,хорошо,плохо,отсутствует,отсутствует
муж,"86,66",нет,2743,1,0,5,отсутствует,плохо,отсутствует,отсутствует,хорошо
жен,"61,1",нет,2313,0,1,3,хорошо,плохо,отсутствует,отсутствует,хорошо
жен,"57,82",да,3343,1,1,4,плохо,хорошо,плохо,отсутствует,отсутствует
жен,"81,02",нет,414,0,1,5,хорошо,отсутствует,хорошо,отсутствует,плохо
жен,"55,16",да,4683,0,0,4,плохо,плохо,отсутствует,отсутствует,отсутствует
муж,"69,41",да,2240,0,0,2,плохо,отсутствует,отсутствует,хорошо,хорошо
жен,"65,29",да,3273,0,1,2,хорошо,отсутствует,плохо,хорошо,отсутствует
муж,"29,9",да,3196,0,1,3,отсутствует,хорошо,плохо,отсутствует,отсутствует
жен,"41,16",да,2542,0,1,4,плохо,плохо,отсутствует,плохо,плохо
муж,"85,45",да,4790,1,0,4,хорошо,хорошо,плохо,отсутствует,хорошо
муж,"21,7",да,3775,1,1,3,отсутствует,хорошо,отсутствует,плохо,плохо
муж,"74,43",нет,1703,1,1,2,отсутствует,плохо,хорошо,хорошо,плохо
муж,"85,63",да,1550,0,0,2,отсутствует,хорошо,хорошо,отсутствует,плохо
жен,"52,96",да,1793,0,0,3,отсутствует,плохо,отсутствует,отсутствует,отсутствует
муж,"40,71",да,2263,0,0,1,отсутствует,отсутствует,отсутствует,отсутствует,плохо
жен,"45,42",да,602,1,1,2,плохо,плохо,отсутствует,хорошо,плохо
муж,"49,2",нет,135,0,0,5,плохо,плохо,плохо,плохо,плохо
муж,"31,99",да,2069,1,0,4,плохо,отсутствует,отсутствует,отсутствует,отсутствует
жен,"55,37",да,596,1,0,4,плохо,отсутствует,хорошо,отсутствует,отсутствует
жен,"52,64",нет,3724,0,1,5,хорошо,отсутствует,плохо,отсутствует,плохо
муж,"54,0",да,3557,1,1,5,плохо,хорошо,плохо,отсутствует,отсутствует
жен,"28,73",да,330,1,1,2,плохо,плохо,отсутствует,хорошо,хорошо
муж,"48,1",нет,4349,1,0,5,плохо,плохо,хорошо,отсутствует,отсутствует
муж,"39,96",да,375,1,0,5,хорошо,хорошо,отсутствует,отсутствует,плохо
жен,"31,23",нет,2533,0,1,3,отсутствует,плохо,хорошо,хорошо,плохо
муж,"18,38",да,2568,1,0,4,отсутствует,плохо,плохо,хорошо,хорошо
муж,"78,15",нет,2169,1,1,4,отсутствует,хорошо,отсутствует,хорошо,плохо
жен,"39,85",да,840,0,0,4,отсутствует,отсутствует,плохо,отсутствует,хорошо
жен,"78,99",нет,1353,1,0,5,хорошо,плохо,хорошо,хорошо,плохо
муж,"59,04",да,500,1,0,2,отсутствует,хорошо,хорошо,отсутствует,хорошо
муж,"65,74",нет,2615,0,0,5,плохо,плохо,плохо,хорошо,плохо
муж,"59,17",да,3668,0,0,1,отсутствует,отсутствует,отсутствует,плохо,хорошо
жен,"47,64",да,3007,1,1,2,отсутствует,отсутствует,отсутствует,плохо,отсутствует
жен,"88,29",нет,3170,0,0,1,плохо,хорошо,плохо,отсутствует,плохо
жен,"68,24",да,2319,0,1,5,хорошо,плохо,отсутствует,хорошо,плохо
жен,"76,81",нет,1150,0,0,1,отсутствует,плохо,хорошо,плохо,отсутствует
муж,"57,66",да,2363,1,0,4,отсутствует,хорошо,плохо,плохо,плохо
жен,"72,08",да,4845,1,0,1,хорошо,отсутствует,плохо,хорошо,плохо
муж,"53,84",да,353,1,1,5,хорошо,отсутствует,хорошо,плохо,отсутствует
жен,"40,08",да,4861,1,0,1,хорошо,отсутствует,хорошо,плохо,плохо
жен,"62,21",нет,1381,1,0,4,хорошо,плохо,хорошо,отсутствует,хорошо
жен,"35,41",да,868,0,1,4,хорошо,хорошо,отсутствует,хорошо,хорошо
жен,"69,58",нет,2168,1,1,3,хорошо,плохо,хорошо,хорошо,плохо
муж,"40,42",да,861,1,0,5,хорошо,хорошо,плохо,отсутствует,отсутствует
жен,"53,62",да,1009,0,0,1,отсутствует,хорошо,хорошо,отсутствует,отсутствует
жен,"79,21",да,1901,1,1,5,отсутствует,плохо,хорошо,хорошо,хорошо
жен,"50,9",да,2662,0,0,4,отсутствует,плохо,плохо,отсутствует,плохо
муж,"82,51",да,855,0,0,4,плохо,хорошо,плохо,хорошо,плохо
муж,"21,7",нет,4792,1,1,4,хорошо,плохо,хорошо,плохо,хорошо
муж,"44,42",да,3752,0,0,2,плохо,хорошо,отсутствует,хорошо,отсутствует
жен,"75,31",да,1984,0,0,3,плохо,отсутствует,плохо,плохо,хорошо
муж,"49,24",да,502,1,0,5,плохо,плохо,плохо,плохо,хорошо
